CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ARQUIVOLOGIA (EAD),6,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GESTÃO DOCUMENTAL, PRESERVAÇÃO, DIGITALIZAÇÃO","3.200,00-4.800,00",10-18,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Capacita para gestão documental de arquivos permanentes.",Graduação em Arquivologia EAD | UNIASSELVI,Humanas & Educação
GESTÃO DE COOPERATIVAS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"COOPERATIVAS AGRÍCOLAS, CRÉDITO, GOVERNANÇA","4.000,00-6.500,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado no modelo de negócios baseado no cooperativismo.",Tecnólogo em Gestão de Cooperativas EAD | UNIASSELVI,Negócios & Gestão
RELAÇÕES INTERNACIONAIS,7,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"DIPLOMACIA, COMÉRCIO EXTERIOR, ONGS GLOBAIS","4.500,00-7.500,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Analisa a interação entre Estados e multinacionais.",https://portal.uniasselvi.com.br/graduacao/bacharelado/relacoes-internacionais/ead,Humanas & Educação
ANTROPOLOGIA,6,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"PESQUISA DE CAMPO, ETNOGRAFIA, CONSULTORIA","3.800,00-6.000,00",10-18,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estuda a diversidade cultural através do método etnográfico.",Graduação em Antropologia: Bacharelado | UNIASSELVI,Humanas & Educação
HOTELARIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"HOTÉIS, RESORTS, CRUZEIROS, GOVERNANÇA","4.000,00-7.000,00",12-20,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Prepara para a administração de empresas de hospedagem.",Tecnólogo em Hotelaria | Graduação EAD UNIASSELVI,Negócios & Gestão
LETRAS LIBRAS BACHARELADO,7,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"TRADUTOR, INTÉRPRETE DE LIBRAS EM EVENTOS","3.200,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Desenvolve fluência avançada com foco em tradução simultânea.",https://portal.uniasselvi.com.br/graduacao/bacharelado/letras-libras-bacharelado/ead,Humanas & Educação
INTELIGÊNCIA ARTIFICIAL E MACHINE LEARNING,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"MODELOS INTELIGENTES, REDES NEURAIS, PYTHON","8.000,00-15.000,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado no desenvolvimento de sistemas que tomam decisões.",Graduação em IA e Machine Learning EAD | UNIASSELVI,Tecnologia & TI
GESTÃO PÚBLICA (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"GOVERNO, LICITAÇÕES, CONTRATOS, ORÇAMENTO","4.200,00-7.000,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na governança de instituições estatais e controle.",Graduação em Gestão Pública EAD | UNIASSELVI,Negócios & Gestão
DESIGN DE MODA (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"STYLISM, DESENHO, GESTÃO DE MARCAS DE ROUPA","3.200,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Desenvolvimento de vestuários, modelagem e têxtil regional.",https://portal.uniasselvi.com.br/graduacao/tecnologo/design-de-moda/ead,Humanas & Educação
SISTEMAS DE INFORMAÇÃO (EAD),8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GOVERNANÇA DE TI, BANCO DE DADOS, REDES","5.500,00-9.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Combina tecnologia e negócios para gerenciar os fluxos.",Graduação em Sistemas da Informação EAD | UNIASSELVI,Tecnologia & TI
GESTÃO DE SERVIÇOS JURÍDICOS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"SUPORTE ADMINISTRATIVO, DEPARTAMENTOS JURÍDICOS","3.500,00-5.500,00",35-50,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aborda processos burocráticos e rotinas de conciliação.",Curso Tecnólogo em Gestão de Serviços Jurídicos | UNIASSELVI,Negócios & Gestão
FOTOGRAFIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"COBERTURA DE EVENTOS, PUBLICIDADE, MODA, RETRATOS","2.500,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Explora as dimensões técnicas e estéticas da imagem.",Tecnólogo em Fotografia EAD | UNIASSELVI,Humanas & Educação
GESTÃO DE FARMÁCIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DROGARIAS, ESTOQUE DA ANVISA, VAREJO","4.000,00-6.500,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Curso tecnológico voltado para os aspectos comerciais.",Tecnólogo em Gestão de Farmácia: carreira e salário,Negócios & Gestão
GESTÃO DA QUALIDADE (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ISO 9001, AUDITORIA INTERNA, PROCESSOS","4.500,00-7.000,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na implementação de padrões de excelência.",Graduação em Gestão da Qualidade EAD | UNIASSELVI,Negócios & Gestão
SISTEMAS PARA INTERNET,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"FRONT-END, BACK-END, E-COMMERCE, CLOUD","4.800,00-8.000,00",12-20,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Prepara para o desenvolvimento de soluções na web.",Curso Tecnólogo em Sistemas para Internet | UNIASSELVI,Tecnologia & TI
PRODUÇÃO CULTURAL,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"FESTIVAIS, LEIS DE INCENTIVO, LOGÍSTICA","3.000,00-5.000,00",20-30,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na gestão de projetos artísticos e entretenimento.",Curso Tecnólogo em Production Cultural | UNIASSELVI,Humanas & Educação
PUBLICIDADE E PROPAGANDA (EAD),7,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"AGÊNCIAS, MÍDIAS SOCIAIS, CRIAÇÃO DE CAMPANHAS","3.500,00-5.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aborda criação, redação, mídia e comportamento de mercado.",Graduação em Publicidade e Propaganda | UNIASSELVI,Humanas & Educação
TECNOLOGIA EM GESTÃO DE NEGÓCIOS IMOBILIÁRIOS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CONDOMÍNIOS, CORRETAGEM, LEGISLAÇÃO, VISTORIAS","3.500,00-7.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aborda o mercado de compra, venda, locação e avaliação.",Graduação Gestão de Negócios Imobiliários | UNIASSELVI,Negócios & Gestão
GESTÃO DE TURISMO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ROTEIROS, AGÊNCIAS DE VIAGEM, SUSTENTABILIDADE","3.200,00-5.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Capacita para o planejamento do desenvolvimento turístico.",Curso Tecnólogo em Gestão de Turismo | Confira na UNIASSELVI,Negócios & Gestão
SERVIÇOS PENAIS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"SISTEMA PRISIONAL, REINSERÇÃO SOCIAL, DIREITOS","3.500,00-5.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Gestão administrativa penitenciária e socioeducativa.",Curso Tecnólogo em Serviços Penais | UNIASSELVI,Humanas & Educação
REDES DE COMPUTADORES,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ROTEADORES, SWITCHES, INFRAESTRUTURA DE REDES","4.500,00-7.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Ensina a projetar e administrar redes corporativas.",Curso Tecnólogo em Tecnologia em Redes de Computadores,Tecnologia & TI
COMÉRCIO EXTERIOR,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"IMPORTAÇÃO, EXPORTAÇÃO, LOGÍSTICA INTERNACIONAL","4.500,00-7.000,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Transações comerciais internacionais de bens e câmbio.",Comércio Exterior: Curso Tecnólogo | UNIASSELVI,Negócios & Gestão
TRADUÇÃO,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"TEXTOS TÉCNICOS, LITERÁRIOS, LEGENDAGEM, CAT TOOLS","3.500,00-6.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Transposição de textos escritos entre diferentes idiomas.",Bacharelado em Tradução no EAD | Acesse na UNIASSELVI,Humanas & Educação
GASTRONOMIA (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,VAGAS POR TURMA,"CHEF DE COZINHA, RESTAURANTES, SEGURANÇA, CARDÁPIOS","3.500,00-6.500,00",30-50,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Combina técnicas culinárias com gestão de negócios.",Curso de Gastronomia: estude na UNIASSELVI,Humanas & Educação
TECNOLOGIA EM SEGURANÇA CIBERNÉTICA,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DEFESA ATIVA, PENTESTS, FORENSE DIGITAL, CLOUD","7.000,00-13.000,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Defesa ativa e passiva de ecossistemas digitais.",Tecnologia em Segurança Cibernética,Tecnologia & TI
TECNOLOGIA EM MÍDIAS SOCIAIS DIGITAIS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CANAIS DIGITAIS, CRONOGRAMAS, MÉTRICAS, COMUNIDADES","3.000,00-5.000,00",35-55,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Planejamento estratégico de marcas nas redes sociais.",Tecnologia em Mídias Sociais Digitais - Graduação,Tecnologia & TI
MARKETING DIGITAL,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"VENDAS ONLINE, TRÁFEGO PAGO, SEO, FUNIS","4.000,00-6.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estratégias de captação e conversão em ambientes virtuais.",Marketing Digital: Curso Tecnólogo na UNIASSELVI,Negócios & Gestão
GESTÃO DE NEGÓCIOS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DIAGNÓSTICO EMPRESARIAL, EXPANSÃO, METAS","5.000,00-8.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Oferece uma visão panorâmica e integrada corporativa.",Curso Tecnólogo em Gestão de Negócios EAD | UNIASSELVI,Negócios & Gestão
GESTÃO E EMPREENDEDORISMO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"STARTUPS, LEAN STARTUP, CANVAS, FINANCIAMENTO","4.500,00-8.000,00",35-50,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Criação de novos negócios e inovação corporativa.",Tecnólogo em Gestão e Empreendedorismo EAD | UNIASSELVI,Negócios & Gestão
ENGENHARIA DE SOFTWARE (EAD),8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"ARQUITETURA DE SISTEMAS, PROJETOS ÁGEIS, QA","7.000,00-12.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aplicação de métodos sistemáticos em softwares de grande porte.",Engenharia de Software: formação EAD | UNIASSELVI,Tecnologia & TI
DESPACHANTE DOCUMENTALISTA,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"INTERMEDIAÇÃO BUROCRÁTICA, ALVARÁS, DETRAN","2.800,00-4.500,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Trâmites legais para representar clientes perante órgãos.",Curso de Despachante Documentalista | UNIASSELVI,Negócios & Gestão
RELAÇÕES PÚBLICAS,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"REPUTAÇÃO, ASSESSORIA DE IMPRENSA, CRISES","3.800,00-5.800,00",18-28,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Gestão da comunicação estratégica entre marcas e públicos.",Bacharelado em Relações Públicas: conheça essa formação,Humanas & Educação
SECRETARIADO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ASSESSORIA, AGENDAS COMPLEXAS, ATENDIMENTO","3.200,00-5.000,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Capacita para assessoria de executivos e escritórios.",Tecnólogo em Secretariado EAD | UNIASSELVI,Negócios & Gestão
DESIGN DIGITAL E USER EXPERIENCE,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"INTERFACES DIGITAIS, USABILIDADE, PROTÓTIPOS","5.500,00-9.500,00",18-28,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Projetos de interfaces digitais centradas no usuário.",Design Digital e UX: Curso Tecnólogo EAD UNIASSELVI,Tecnologia & TI
BANCO DE DADOS (EAD),5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"MODELAGEM SQL, BIG DATA, NOSQL, SERVIDORES","6.000,00-10.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Armazenamento seguro e recuperação ágil de volumes corporativos.",Banco de Dados,Tecnologia & TI
GESTÃO DA TECNOLOGIA DA INFORMAÇÃO (EAD),5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"LIDERANÇA DE TI, ITIL, COBIT, FORNECEDORES","7.000,00-12.000,00",10-18,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Une conhecimentos tecnológicos à governança corporativa.",Graduação em Gestão da Tecnologia da Informação EAD,Tecnologia & TI
GESTÃO PORTUÁRIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"TERMINAIS DE CARGA, DIREITO MARÍTIMO, TARIFAS","4.500,00-7.500,00",35-55,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aspectos logísticos e operacionais de transporte aquaviário.",Graduação em Gestão Portuária EAD | UNIASSELVI,Negócios & Gestão
SEGURANÇA PÚBLICA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"PLANEJAMENTO ESTRATÉGICO POLICIAL, CRISES, DIREITOS","4.500,00-7.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Gestão de proteção social e combate à violência urbana.",Tecnólogo em Segurança Pública | UNIASSELVI,Humanas & Educação
GESTÃO DO AGRONEGÓCIO,6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"FAZENDAS, COMMODITIES, LOGÍSTICA AGROPECUÁRIA","5.000,00-8.500,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aplica conceitos de administração na cadeia do campo.",Curso Tecnólogo em Gestão do Agronegócio | UNIASSELVI,Negócios & Gestão
GESTÃO DA INOVAÇÃO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"INOVAÇÃO ABERTA, PATENTES, STARTUPS","5.500,00-9.000,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Liderança e transformação tecnológica em corporações.",Graduação em Gestão da Inovação EAD | UNIASSELVI,Negócios & Gestão
DESIGN DE ANIMAÇÃO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ANIMAÇÃO 2D E 3D, MOTION GRAPHICS, STORYBOARDS","4.000,00-7.000,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Técnicas de dar movimento a elementos gráficos e artísticos.",Design de Animação,Humanas & Educação
ADMINISTRAÇÃO PÚBLICA,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"ORÇAMENTO PÚBLICO, LICITAÇÕES, CONTRATOS","4.500,00-7.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na gestão do interesse coletivo governamental.",Administração Pública - Uniasselvi > Graduação,Negócios & Gestão
